Epoch 0 lr=0.1: loss=356.176882982254, train_accuracy=0.4975024366471735,val_loss=19.5506649017334, val_accuracy=0.4946957007258515
Epoch 1 lr=0.1: loss=355.6087655425072, train_accuracy=0.5087110136452242,val_loss=19.286075592041016, val_accuracy=0.5848687883863763
Epoch 2 lr=0.1: loss=351.99485808610916, train_accuracy=0.5568957115009746,val_loss=18.69099998474121, val_accuracy=0.5926856504745952
Epoch 3 lr=0.1: loss=344.7026137113571, train_accuracy=0.5970394736842105,val_loss=20.1508846282959, val_accuracy=0.5170295924064768
Epoch 4 lr=0.097: loss=342.63162809610367, train_accuracy=0.5994761208576999,val_loss=18.36966323852539, val_accuracy=0.6169737576772752
Epoch 5 lr=0.097: loss=337.4738101363182, train_accuracy=0.6209795321637427,val_loss=18.345449447631836, val_accuracy=0.6169737576772752
Epoch 6 lr=0.097: loss=333.6193548440933, train_accuracy=0.6302997076023392,val_loss=18.052549362182617, val_accuracy=0.6337241764377443
Epoch 7 lr=0.09409000000000001: loss=329.0433492362499, train_accuracy=0.6404727095516569,val_loss=17.679868698120117, val_accuracy=0.6454494695700725
Epoch 8 lr=0.09409000000000001: loss=324.9006512761116, train_accuracy=0.6482090643274854,val_loss=17.052400588989258, val_accuracy=0.681462869905081
Epoch 9 lr=0.09409000000000001: loss=323.4667498767376, train_accuracy=0.6515594541910331,val_loss=16.61467742919922, val_accuracy=0.6887213847012842
Epoch 10 lr=0.09126730000000001: loss=318.677271515131, train_accuracy=0.6627680311890838,val_loss=20.77745819091797, val_accuracy=0.6236739251814629
Epoch 11 lr=0.09126730000000001: loss=316.0485786795616, train_accuracy=0.6663620857699805,val_loss=18.72855567932129, val_accuracy=0.6236739251814629
Epoch 12 lr=0.09126730000000001: loss=313.83279517292976, train_accuracy=0.6759868421052632,val_loss=16.186182022094727, val_accuracy=0.7082635399218313
Epoch 13 lr=0.088529281: loss=314.25546300411224, train_accuracy=0.6706262183235867,val_loss=15.875231742858887, val_accuracy=0.707426018983808
Epoch 14 lr=0.088529281: loss=306.7104128599167, train_accuracy=0.6868908382066277,val_loss=17.658754348754883, val_accuracy=0.6415410385259631
Epoch 15 lr=0.088529281: loss=307.22226628661156, train_accuracy=0.6817738791423001,val_loss=18.93556022644043, val_accuracy=0.6485203796761586
Epoch 16 lr=0.08587340257: loss=303.9461841583252, train_accuracy=0.6873172514619883,val_loss=15.484468460083008, val_accuracy=0.7294807370184254
Epoch 17 lr=0.08587340257: loss=302.1084159016609, train_accuracy=0.6931652046783626,val_loss=15.021871566772461, val_accuracy=0.740926856504746
Epoch 18 lr=0.08587340257: loss=297.4609933793545, train_accuracy=0.6988304093567251,val_loss=17.315187454223633, val_accuracy=0.6705750977107761
Epoch 19 lr=0.08329720049289999: loss=297.60955834388733, train_accuracy=0.7004751461988304,val_loss=15.252923011779785, val_accuracy=0.7266890005583473
Epoch 20 lr=0.08329720049289999: loss=294.69151052832603, train_accuracy=0.7058357699805068,val_loss=16.785953521728516, val_accuracy=0.6705750977107761
Epoch 21 lr=0.08329720049289999: loss=293.08460262417793, train_accuracy=0.706140350877193,val_loss=18.099262237548828, val_accuracy=0.6535455053042992
Epoch 22 lr=0.08079828447811299: loss=288.0677539408207, train_accuracy=0.7158869395711501,val_loss=14.136724472045898, val_accuracy=0.7615857063093244
Epoch 23 lr=0.08079828447811299: loss=288.4698705673218, train_accuracy=0.7157041910331384,val_loss=19.017385482788086, val_accuracy=0.6507537688442211
Epoch 24 lr=0.08079828447811299: loss=288.4287818968296, train_accuracy=0.7149731968810916,val_loss=13.995356559753418, val_accuracy=0.7546063651591289
Epoch 25 lr=0.0783743359437696: loss=283.9896737933159, train_accuracy=0.7191154970760234,val_loss=15.827176094055176, val_accuracy=0.7322724734785037
Epoch 26 lr=0.0783743359437696: loss=280.84891682863235, train_accuracy=0.723196881091618,val_loss=14.29542350769043, val_accuracy=0.7467895030709101
Epoch 27 lr=0.0783743359437696: loss=275.3138495385647, train_accuracy=0.7309332358674464,val_loss=15.040204048156738, val_accuracy=0.7155220547180347
Epoch 28 lr=0.0760231058654565: loss=276.09686705470085, train_accuracy=0.730567738791423,val_loss=15.678919792175293, val_accuracy=0.7400893355667225
Epoch 29 lr=0.0760231058654565: loss=275.9107220172882, train_accuracy=0.7286184210526315,val_loss=14.135194778442383, val_accuracy=0.7730318257956449
Epoch 30 lr=0.0760231058654565: loss=273.36578902602196, train_accuracy=0.7309332358674464,val_loss=13.238591194152832, val_accuracy=0.7735901730876605
Epoch 31 lr=0.0737424126894928: loss=271.8428412973881, train_accuracy=0.7378776803118908,val_loss=13.781499862670898, val_accuracy=0.7573981016192072
Epoch 32 lr=0.0737424126894928: loss=267.1652062833309, train_accuracy=0.7454922027290448,val_loss=15.819967269897461, val_accuracy=0.7350642099385818
Epoch 33 lr=0.0737424126894928: loss=268.7068507373333, train_accuracy=0.7409234892787524,val_loss=12.72609806060791, val_accuracy=0.7822445561139029
Epoch 34 lr=0.07153014030880801: loss=266.5378628671169, train_accuracy=0.7442129629629629,val_loss=12.490985870361328, val_accuracy=0.7959240647682859
Epoch 35 lr=0.07153014030880801: loss=265.2671054303646, train_accuracy=0.745553118908382,val_loss=14.06249713897705, val_accuracy=0.7490228922389727
Epoch 36 lr=0.07153014030880801: loss=261.2882156968117, train_accuracy=0.7509746588693957,val_loss=13.647340774536133, val_accuracy=0.7738693467336684
Epoch 37 lr=0.06938423609954376: loss=259.1610251367092, train_accuracy=0.7538377192982456,val_loss=12.835573196411133, val_accuracy=0.774427694025684
Epoch 38 lr=0.06938423609954376: loss=257.171572715044, train_accuracy=0.753167641325536,val_loss=14.414752006530762, val_accuracy=0.7420435510887772
Epoch 39 lr=0.06938423609954376: loss=255.888886526227, train_accuracy=0.7535940545808967,val_loss=12.901885986328125, val_accuracy=0.7783361250697934
Epoch 40 lr=0.06730270901655745: loss=253.76006513834, train_accuracy=0.7579800194931774,val_loss=12.453822135925293, val_accuracy=0.7816862088218872
Epoch 41 lr=0.06730270901655745: loss=253.14799435436726, train_accuracy=0.7634015594541911,val_loss=12.440816879272461, val_accuracy=0.7906197654941374
Epoch 42 lr=0.06730270901655745: loss=250.52967277169228, train_accuracy=0.7615740740740741,val_loss=13.347101211547852, val_accuracy=0.7797319932998324
Epoch 43 lr=0.06528362774606072: loss=250.26418143510818, train_accuracy=0.7620004873294347,val_loss=13.35081672668457, val_accuracy=0.7763819095477387
Epoch 44 lr=0.06528362774606072: loss=248.8934969007969, train_accuracy=0.7637670565302144,val_loss=18.54653549194336, val_accuracy=0.6772752652149637
Epoch 45 lr=0.06528362774606072: loss=246.87095671892166, train_accuracy=0.7680311890838206,val_loss=11.100168228149414, val_accuracy=0.8193746510329425
Epoch 46 lr=0.0633251189136789: loss=244.20008517801762, train_accuracy=0.7717470760233918,val_loss=13.152281761169434, val_accuracy=0.7705192629815746
Epoch 47 lr=0.0633251189136789: loss=242.0636207461357, train_accuracy=0.7721125730994152,val_loss=12.558650016784668, val_accuracy=0.7741485203796762
Epoch 48 lr=0.0633251189136789: loss=241.89633625745773, train_accuracy=0.770224171539961,val_loss=13.01306438446045, val_accuracy=0.8020658849804578
Epoch 49 lr=0.06142536534626853: loss=237.87451262772083, train_accuracy=0.776803118908382,val_loss=12.215041160583496, val_accuracy=0.8059743160245673
Epoch 50 lr=0.06142536534626853: loss=239.93334998190403, train_accuracy=0.7757066276803118,val_loss=13.815560340881348, val_accuracy=0.7333891680625348
Epoch 51 lr=0.06142536534626853: loss=239.67130345106125, train_accuracy=0.776254873294347,val_loss=13.61619758605957, val_accuracy=0.7456728084868789
Epoch 52 lr=0.05958260438588047: loss=233.817615583539, train_accuracy=0.7806408382066277,val_loss=13.18452262878418, val_accuracy=0.7808486878838637
Epoch 53 lr=0.05958260438588047: loss=236.6997935026884, train_accuracy=0.7813109161793372,val_loss=12.984206199645996, val_accuracy=0.7733109994416527
Epoch 54 lr=0.05958260438588047: loss=234.87160210311413, train_accuracy=0.7814327485380117,val_loss=11.379166603088379, val_accuracy=0.8054159687325516
Epoch 55 lr=0.05779512625430405: loss=233.9088413119316, train_accuracy=0.7779605263157895,val_loss=11.431406021118164, val_accuracy=0.8059743160245673
Epoch 56 lr=0.05779512625430405: loss=231.97377109527588, train_accuracy=0.7840521442495126,val_loss=19.23638343811035, val_accuracy=0.6795086543830262
Epoch 57 lr=0.05779512625430405: loss=230.14231978356838, train_accuracy=0.7816764132553606,val_loss=11.537888526916504, val_accuracy=0.8118369625907315
Epoch 58 lr=0.05606127246667493: loss=228.18585141003132, train_accuracy=0.7891691033138402,val_loss=11.051689147949219, val_accuracy=0.824678950307091
Epoch 59 lr=0.05606127246667493: loss=230.27467808127403, train_accuracy=0.7864278752436648,val_loss=11.258145332336426, val_accuracy=0.8042992741485204
Epoch 60 lr=0.05606127246667493: loss=227.73036216199398, train_accuracy=0.7860623781676414,val_loss=12.418270111083984, val_accuracy=0.7855946398659966
